lat,lon
17.8,-85.6
18.1,-85.73333333333333
18.4,-85.46666666666667
18.8,-84.9
19.1,-84.03333333333333
19.7,-83.66666666666667
20.2,-83.4
20.9,-82.93333333333332
21.7,-82.76666666666667
22.7,-82.7
23.7,-83.13333333333333
24.6,-83.36666666666667
25.6,-83.4
26.6,-83.33333333333333
27.7,-83.26666666666667
29.0,-82.8
30.0,-81.83333333333333
30.2,-81.56666666666668
31.5,-80.5
32.8,-79.03333333333333
34.1,-77.36666666666667
35.6,-75.5
36.5,-73.03333333333333
37.3,-70.16666666666667
39.1,-65.6
41.1,-60.93333333333333
43.1,-56.166666666666664
44.8,-50.2
46.4,-42.53333333333334
47.6,-34.86666666666667
48.4,-27.1
48.8,-19.933333333333334
48.6,-14.366666666666667
47.5,-9.899999999999999
45.9,-6.833333333333333
44.4,-4.566666666666667
42.8,-3.3000000000000007
41.2,-2.833333333333333
41.2,-17.166666666666668
42.8,-17.3
44.4,-18.233333333333334
45.9,-20.166666666666668
47.5,-22.9
48.6,-27.03333333333333
48.8,-32.266666666666666
48.4,-39.1
47.6,-46.53333333333334
46.4,-53.86666666666667
44.8,-61.2
43.1,-66.83333333333333
41.1,-71.26666666666667
39.1,-75.6
37.3,-79.83333333333333
36.5,-82.36666666666667
35.6,-84.5
34.1,-86.03333333333333
32.8,-87.36666666666667
31.5,-88.5
30.2,-89.23333333333333
30.0,-89.16666666666667
29.0,-89.8
27.7,-89.93333333333332
26.6,-89.66666666666667
25.6,-89.4
24.6,-89.03333333333333
23.7,-88.46666666666667
22.7,-87.7
21.7,-87.43333333333332
20.9,-87.26666666666667
20.2,-87.4
19.7,-87.33333333333333
19.1,-87.36666666666667
18.8,-87.9
18.4,-88.13333333333333
18.1,-88.06666666666668
17.8,-87.6
