,time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_basin
0,2018-10-06 18:00:00,0,,LO,17.8,-86.6,25,1006,north_atlantic
1,2018-10-07 00:00:00,0,,LO,18.1,-86.9,25,1004,north_atlantic
2,2018-10-07 06:00:00,0,,TD,18.4,-86.8,30,1004,north_atlantic
3,2018-10-07 12:00:00,0,,TS,18.8,-86.4,35,1003,north_atlantic
4,2018-10-07 18:00:00,0,,TS,19.1,-85.7,45,999,north_atlantic
5,2018-10-08 00:00:00,0,,TS,19.7,-85.5,50,996,north_atlantic
6,2018-10-08 06:00:00,0,,TS,20.2,-85.4,60,984,north_atlantic
7,2018-10-08 12:00:00,0,,HU,20.9,-85.1,65,982,north_atlantic
8,2018-10-08 18:00:00,0,,HU,21.7,-85.1,75,977,north_atlantic
9,2018-10-09 00:00:00,0,,HU,22.7,-85.2,85,971,north_atlantic
10,2018-10-09 06:00:00,0,,HU,23.7,-85.8,85,973,north_atlantic
11,2018-10-09 12:00:00,0,,HU,24.6,-86.2,90,968,north_atlantic
12,2018-10-09 18:00:00,0,,HU,25.6,-86.4,100,961,north_atlantic
13,2018-10-10 00:00:00,0,,HU,26.6,-86.5,110,952,north_atlantic
14,2018-10-10 06:00:00,0,,HU,27.7,-86.6,120,945,north_atlantic
15,2018-10-10 12:00:00,0,,HU,29.0,-86.3,125,934,north_atlantic
16,2018-10-10 17:30:00,1,L,HU,30.0,-85.5,140,919,north_atlantic
17,2018-10-10 18:00:00,0,,HU,30.2,-85.4,135,920,north_atlantic
18,2018-10-11 00:00:00,0,,HU,31.5,-84.5,80,957,north_atlantic
19,2018-10-11 06:00:00,0,,TS,32.8,-83.2,50,979,north_atlantic
20,2018-10-11 12:00:00,0,,TS,34.1,-81.7,45,987,north_atlantic
21,2018-10-11 18:00:00,0,,TS,35.6,-80.0,45,991,north_atlantic
22,2018-10-12 00:00:00,0,,EX,36.5,-77.7,50,988,north_atlantic
23,2018-10-12 06:00:00,0,,EX,37.3,-75.0,60,983,north_atlantic
24,2018-10-12 12:00:00,0,,EX,39.1,-70.6,60,980,north_atlantic
25,2018-10-12 18:00:00,0,,EX,41.1,-66.1,60,977,north_atlantic
26,2018-10-13 00:00:00,0,,EX,43.1,-61.5,65,975,north_atlantic
27,2018-10-13 06:00:00,0,,EX,44.8,-55.7,65,975,north_atlantic
28,2018-10-13 12:00:00,0,,EX,46.4,-48.2,65,975,north_atlantic
29,2018-10-13 18:00:00,0,,EX,47.6,-40.7,65,975,north_atlantic
30,2018-10-14 00:00:00,0,,EX,48.4,-33.1,65,975,north_atlantic
31,2018-10-14 06:00:00,0,,EX,48.8,-26.1,65,975,north_atlantic
32,2018-10-14 12:00:00,0,,EX,48.6,-20.7,60,975,north_atlantic
33,2018-10-14 18:00:00,0,,EX,47.5,-16.4,55,978,north_atlantic
34,2018-10-15 00:00:00,0,,EX,45.9,-13.5,55,982,north_atlantic
35,2018-10-15 06:00:00,0,,EX,44.4,-11.4,50,989,north_atlantic
36,2018-10-15 12:00:00,0,,EX,42.8,-10.3,35,996,north_atlantic
37,2018-10-15 18:00:00,0,,EX,41.2,-10.0,35,1001,north_atlantic
